qubits,fidelity_v1,fidelity_v2,mean_fidelity,depth_v1,depth_v2,mean_depth,two_qubit_gates_v1,two_qubit_gates_v2,mean_two_qubit_gates,epsilon,threshold,pass_fail
16,0.501019313304721,0.470118025751073,0.485568669527897,63,63,63.0,15,15,15.0,0.1,0.4,Pass
19,0.40031631666813106,0.4142210702047272,0.40726869343642913,75,75,75.0,18,18,18.0,0.1,0.4,Pass
20,0.3945364238410596,0.388658940397351,0.3915976821192053,79,79,79.0,19,19,19.0,0.1,0.4,Fail
21,0.3886410768087021,0.35798411394138596,0.373312595375044,83,83,83.0,20,20,20.0,0.1,0.4,Fail
23,0.3175251920231132,0.31532309210062714,0.3164241420618702,91,91,91.0,22,22,22.0,0.1,0.4,Fail
