qubits,fidelity_v1,fidelity_v2,mean_fidelity,circuit_depth_mean,two_qubit_gates_mean,shots_mean,epsilon,threshold,pass_fail
16,0.6747854077253219,0.6111587982832618,0.6429721030042919,,,,0.1,0.4,Pass
23,0.5973504333732647,0.5853005425974209,0.5913254879853428,,,,0.1,0.4,Pass
27,0.4229249011857708,0.4679549114331723,0.44543990630947156,,,,0.1,0.4,Pass
28,0.3627583108715184,0.4903975741239892,0.4265779424977538,,,,0.1,0.4,Pass
29,0.3978323582540239,0.3314685503221806,0.3646504542881023,,,,0.1,0.4,Fail
